Timestamp for sample frequency every 1 min min,Temperature_Fahrenheit,Relative_Humidity
2026-03-30 21:15:00,75.02,22.9
2026-03-30 21:16:00,75.02,23
2026-03-30 21:17:00,74.84,23
2026-03-30 21:18:00,75.02,23
2026-03-30 21:19:00,74.84,23
2026-03-30 21:20:00,74.84,23.1
2026-03-30 21:21:00,74.84,23.1
2026-03-30 21:22:00,74.84,23.1
2026-03-30 21:23:00,74.84,23.2
2026-03-30 21:24:00,74.84,23.2
2026-03-30 21:25:00,74.84,23.2
2026-03-30 21:26:00,74.84,23.3
2026-03-30 21:27:00,74.66,23.3
2026-03-30 21:28:00,77.36,39.1
2026-03-30 21:29:00,90.68,30.9
2026-03-30 21:30:00,101.3,26.4
2026-03-30 21:31:00,109.2,23.7
2026-03-30 21:32:00,115.2,21.7
2026-03-30 21:33:00,119.8,20.3
2026-03-30 21:34:00,123.4,19.2
2026-03-30 21:35:00,126.9,18.2
2026-03-30 21:36:00,129.7,17.7
2026-03-30 21:37:00,132.3,17.9
2026-03-30 21:38:00,134.8,18.3
2026-03-30 21:39:00,136.9,18.5
2026-03-30 21:40:00,139.1,18.7
2026-03-30 21:41:00,140.9,18.9
2026-03-30 21:42:00,142.7,19
2026-03-30 21:43:00,144.3,19
2026-03-30 21:44:00,145.6,19
2026-03-30 21:45:00,122.7,13
2026-03-30 21:46:00,99.68,15.3
2026-03-30 21:47:00,86,17.4
2026-03-30 21:48:00,76.64,19
2026-03-30 21:49:00,69.26,20.2
2026-03-30 21:50:00,63.32,21.2
2026-03-30 21:51:00,57.92,22.1
2026-03-30 21:52:00,53.06,22.9
2026-03-30 21:53:00,48.74,23.5
2026-03-30 21:54:00,44.78,24
2026-03-30 21:55:00,41.18,24.2
2026-03-30 21:56:00,37.76,23.7
2026-03-30 21:57:00,34.52,21.6
2026-03-30 21:58:00,31.82,19.7
2026-03-30 21:59:00,29.12,19.3
2026-03-30 22:00:00,26.6,19.2
2026-03-30 22:01:00,24.44,19.3
2026-03-30 22:02:00,22.28,19.4
2026-03-30 22:03:00,20.12,19.6
2026-03-30 22:04:00,18.32,19.8
2026-03-30 22:05:00,16.7,20
2026-03-30 22:06:00,15.08,20.2
2026-03-30 22:07:00,13.64,20.4
2026-03-30 22:08:00,12.2,20.6
2026-03-30 22:09:00,10.94,20.9
2026-03-30 22:10:00,9.68,21.1
2026-03-30 22:11:00,8.6,21.3
2026-03-30 22:12:00,7.52,21.5
2026-03-30 22:13:00,6.62,21.7
2026-03-30 22:14:00,5.72,22.1
2026-03-30 22:15:00,5,22.6
2026-03-30 22:16:00,4.28,23.1
2026-03-30 22:17:00,3.74,23.5
2026-03-30 22:18:00,3.2,23.9
2026-03-30 22:19:00,2.84,24.3
2026-03-30 22:20:00,2.3,24.7
2026-03-30 22:21:00,1.94,25
2026-03-30 22:22:00,1.58,25.3
2026-03-30 22:23:00,1.4,25.6
2026-03-30 22:24:00,1.04,25.9
2026-03-30 22:25:00,0.86,26.2
2026-03-30 22:26:00,0.5,26.5
2026-03-30 22:27:00,0.32,26.8
2026-03-30 22:28:00,0.14,27.1
2026-03-30 22:29:00,-0.04,27.3
2026-03-30 22:30:00,0.14,28.1
2026-03-30 22:31:00,15.44,78.3
2026-03-30 22:32:00,25.7,90.1
2026-03-30 22:33:00,31.82,92.1
2026-03-30 22:34:00,35.78,93.1
2026-03-30 22:35:00,39.02,93.6
2026-03-30 22:36:00,41.72,87.9
2026-03-30 22:37:00,44.06,82.1
2026-03-30 22:38:00,46.22,78.4
2026-03-30 22:39:00,48.02,75
2026-03-30 22:40:00,49.82,72.4
2026-03-30 22:41:00,51.44,70.1
2026-03-30 22:42:00,53.06,67.8
2026-03-30 22:43:00,54.5,65.1
2026-03-30 22:44:00,55.76,61.7
2026-03-30 22:45:00,57.2,58.4
2026-03-30 22:46:00,58.46,54.9
2026-03-30 22:47:00,59.54,52.2
2026-03-30 22:48:00,60.62,50.6
2026-03-30 22:49:00,61.52,49
2026-03-30 22:50:00,62.42,47.8
2026-03-30 22:51:00,63.32,46.7
2026-03-30 22:52:00,64.22,45.8
2026-03-30 22:53:00,64.94,45
2026-03-30 22:54:00,65.66,44.3
2026-03-30 22:55:00,66.2,43.6
2026-03-30 22:56:00,66.92,43.1
2026-03-30 22:57:00,67.46,42.6
2026-03-30 22:58:00,68,42.1
2026-03-30 22:59:00,68.54,41.6
2026-03-30 23:00:00,68.9,41.2
2026-03-30 23:01:00,69.44,40.8
2026-03-30 23:02:00,69.8,40.5
2026-03-30 23:03:00,70.16,40.2
2026-03-30 23:04:00,70.7,39.9
2026-03-30 23:05:00,70.88,39.6
2026-03-30 23:06:00,71.24,39.4
2026-03-30 23:07:00,71.6,39.1
2026-03-30 23:08:00,71.78,38.9
2026-03-30 23:09:00,72.14,38.7
2026-03-30 23:10:00,72.32,38.5
2026-03-30 23:11:00,72.5,38.3
