Timestamp for sample frequency every 1 min min,Time Index,Temperature_Fahrenheit(left),Temperature_Fahrenheit(right),
3/30/26 21:15,0,75.92,75.02,1
3/30/26 21:16,1,75.92,75.02,1
3/30/26 21:17,2,75.92,74.84,1
3/30/26 21:18,3,75.92,75.02,1
3/30/26 21:19,4,75.92,74.84,1
3/30/26 21:20,5,75.92,74.84,1
3/30/26 21:21,6,75.74,74.84,1
3/30/26 21:22,7,75.74,74.84,1
3/30/26 21:23,8,75.74,74.84,1
3/30/26 21:24,9,75.56,74.84,1
3/30/26 21:25,10,75.56,74.84,1
3/30/26 21:26,11,75.56,74.84,1
3/30/26 21:27,12,75.56,74.66,2
3/30/26 21:28,13,81.5,77.36,2
3/30/26 21:29,14,92.66,90.68,2
3/30/26 21:30,15,101.1,101.3,2
3/30/26 21:31,16,107.6,109.2,2
3/30/26 21:32,17,112.6,115.2,2
3/30/26 21:33,18,116.8,119.8,2
3/30/26 21:34,19,120.4,123.4,2
3/30/26 21:35,20,123.6,126.9,2
3/30/26 21:36,21,126.5,129.7,2
3/30/26 21:37,22,129.2,132.3,2
3/30/26 21:38,23,131.7,134.8,2
3/30/26 21:39,24,134.1,136.9,2
3/30/26 21:40,25,136.2,139.1,2
3/30/26 21:41,26,138.2,140.9,2
3/30/26 21:42,27,140,142.7,2
3/30/26 21:43,28,141.8,144.3,2
3/30/26 21:44,29,139.6,145.6,2
3/30/26 21:45,30,117.7,122.7,3
3/30/26 21:46,31,104.9,99.68,3
3/30/26 21:47,32,97.16,86,3
3/30/26 21:48,33,91.4,76.64,3
3/30/26 21:49,34,86.72,69.26,3
3/30/26 21:50,35,82.58,63.32,3
3/30/26 21:51,36,78.98,57.92,3
3/30/26 21:52,37,75.56,53.06,3
3/30/26 21:53,38,72.5,48.74,3
3/30/26 21:54,39,69.44,44.78,3
3/30/26 21:55,40,66.92,41.18,3
3/30/26 21:56,41,64.4,37.76,3
3/30/26 21:57,42,62.06,34.52,3
3/30/26 21:58,43,60.08,31.82,3
3/30/26 21:59,44,58.1,29.12,3
3/30/26 22:00,45,56.3,26.6,3
3/30/26 22:01,46,54.5,24.44,3
3/30/26 22:02,47,53.06,22.28,3
3/30/26 22:03,48,51.62,20.12,3
3/30/26 22:04,49,50.18,18.32,3
3/30/26 22:05,50,48.92,16.7,3
3/30/26 22:06,51,47.84,15.08,3
3/30/26 22:07,52,46.76,13.64,3
3/30/26 22:08,53,45.68,12.2,3
3/30/26 22:09,54,44.78,10.94,3
3/30/26 22:10,55,43.88,9.68,3
3/30/26 22:11,56,43.16,8.6,3
3/30/26 22:12,57,42.26,7.52,3
3/30/26 22:13,58,41.54,6.62,3
3/30/26 22:14,59,41,5.72,3
3/30/26 22:15,60,40.28,5,3
3/30/26 22:16,61,39.74,4.28,3
3/30/26 22:17,62,39.2,3.74,3
3/30/26 22:18,63,38.84,3.2,3
3/30/26 22:19,64,38.48,2.84,3
3/30/26 22:20,65,38.12,2.3,3
3/30/26 22:21,66,37.94,1.94,3
3/30/26 22:22,67,37.76,1.58,3
3/30/26 22:23,68,37.4,1.4,3
3/30/26 22:24,69,37.22,1.04,3
3/30/26 22:25,70,37.04,0.86,3
3/30/26 22:26,71,36.86,0.5,3
3/30/26 22:27,72,36.68,0.32,3
3/30/26 22:28,73,36.5,0.14,3
3/30/26 22:29,74,36.5,-0.04,4
3/30/26 22:30,75,36.32,0.14,4
3/30/26 22:31,76,40.46,15.44,4
3/30/26 22:32,77,48.56,25.7,4
3/30/26 22:33,78,51.98,31.82,4
3/30/26 22:34,79,53.96,35.78,4
3/30/26 22:35,80,55.58,39.02,4
3/30/26 22:36,81,57.2,41.72,4
3/30/26 22:37,82,58.64,44.06,4
3/30/26 22:38,83,59.9,46.22,4
3/30/26 22:39,84,60.98,48.02,4
3/30/26 22:40,85,62.96,49.82,4
3/30/26 22:41,86,63.86,51.44,4
3/30/26 22:42,87,64.76,53.06,4
3/30/26 22:43,88,65.48,54.5,4
3/30/26 22:44,89,66.2,55.76,4
3/30/26 22:45,90,66.92,57.2,4
3/30/26 22:46,91,67.46,58.46,4
3/30/26 22:47,92,68,59.54,4
3/30/26 22:48,93,68.54,60.62,4
3/30/26 22:49,94,69.08,61.52,4
3/30/26 22:50,95,69.62,62.42,4
3/30/26 22:51,96,69.98,63.32,4
3/30/26 22:52,97,70.34,64.22,4
3/30/26 22:53,98,70.7,64.94,4
3/30/26 22:54,99,71.06,65.66,4
3/30/26 22:55,100,71.42,66.2,4
3/30/26 22:56,101,71.78,66.92,4
3/30/26 22:57,102,71.96,67.46,4
3/30/26 22:58,103,72.32,68,4
3/30/26 22:59,104,72.5,68.54,4
3/30/26 23:00,105,72.68,68.9,4
3/30/26 23:01,106,72.86,69.44,4
3/30/26 23:02,107,73.22,69.8,4
3/30/26 23:03,108,73.4,70.16,4
3/30/26 23:04,109,73.58,70.7,4
3/30/26 23:05,110,73.76,70.88,4
3/30/26 23:06,111,73.94,71.24,4
3/30/26 23:07,112,73.94,71.6,4
3/30/26 23:08,113,74.12,71.78,4
3/30/26 23:09,114,74.3,72.14,4
3/30/26 23:10,115,74.48,72.32,4
,,,,
