Timestamp for sample frequency every 1 min min,Temperature_Fahrenheit,Relative_Humidity
2026-03-30 21:15:00,75.92,22.6
2026-03-30 21:16:00,75.92,22.6
2026-03-30 21:17:00,75.92,22.6
2026-03-30 21:18:00,75.92,22.6
2026-03-30 21:19:00,75.92,22.7
2026-03-30 21:20:00,75.92,22.7
2026-03-30 21:21:00,75.74,22.8
2026-03-30 21:22:00,75.74,22.8
2026-03-30 21:23:00,75.74,22.9
2026-03-30 21:24:00,75.56,22.9
2026-03-30 21:25:00,75.56,23
2026-03-30 21:26:00,75.56,23
2026-03-30 21:27:00,75.56,23.1
2026-03-30 21:28:00,81.5,38.5
2026-03-30 21:29:00,92.66,32.9
2026-03-30 21:30:00,101.1,29.6
2026-03-30 21:31:00,107.6,27.5
2026-03-30 21:32:00,112.6,25.9
2026-03-30 21:33:00,116.8,24.7
2026-03-30 21:34:00,120.4,23.5
2026-03-30 21:35:00,123.6,22.6
2026-03-30 21:36:00,126.5,22.4
2026-03-30 21:37:00,129.2,22.4
2026-03-30 21:38:00,131.7,22.4
2026-03-30 21:39:00,134.1,22.5
2026-03-30 21:40:00,136.2,22.4
2026-03-30 21:41:00,138.2,22.4
2026-03-30 21:42:00,140,22.3
2026-03-30 21:43:00,141.8,22.1
2026-03-30 21:44:00,139.6,18.3
2026-03-30 21:45:00,117.7,23.1
2026-03-30 21:46:00,104.9,26.7
2026-03-30 21:47:00,97.16,28
2026-03-30 21:48:00,91.4,25.4
2026-03-30 21:49:00,86.72,24.7
2026-03-30 21:50:00,82.58,24.8
2026-03-30 21:51:00,78.98,25
2026-03-30 21:52:00,75.56,25.4
2026-03-30 21:53:00,72.5,25.9
2026-03-30 21:54:00,69.44,26.4
2026-03-30 21:55:00,66.92,27
2026-03-30 21:56:00,64.4,27.6
2026-03-30 21:57:00,62.06,28.2
2026-03-30 21:58:00,60.08,28.8
2026-03-30 21:59:00,58.1,29.3
2026-03-30 22:00:00,56.3,29.8
2026-03-30 22:01:00,54.5,30.1
2026-03-30 22:02:00,53.06,30.4
2026-03-30 22:03:00,51.62,30.7
2026-03-30 22:04:00,50.18,30.9
2026-03-30 22:05:00,48.92,31.1
2026-03-30 22:06:00,47.84,31.3
2026-03-30 22:07:00,46.76,31.4
2026-03-30 22:08:00,45.68,31.6
2026-03-30 22:09:00,44.78,31.8
2026-03-30 22:10:00,43.88,32
2026-03-30 22:11:00,43.16,32.2
2026-03-30 22:12:00,42.26,32.3
2026-03-30 22:13:00,41.54,32.5
2026-03-30 22:14:00,41,32.7
2026-03-30 22:15:00,40.28,32.9
2026-03-30 22:16:00,39.74,33
2026-03-30 22:17:00,39.2,33.6
2026-03-30 22:18:00,38.84,34.4
2026-03-30 22:19:00,38.48,35.1
2026-03-30 22:20:00,38.12,35.9
2026-03-30 22:21:00,37.94,36.7
2026-03-30 22:22:00,37.76,38.7
2026-03-30 22:23:00,37.4,40.5
2026-03-30 22:24:00,37.22,41.7
2026-03-30 22:25:00,37.04,42.8
2026-03-30 22:26:00,36.86,43.7
2026-03-30 22:27:00,36.68,44.5
2026-03-30 22:28:00,36.5,45.2
2026-03-30 22:29:00,36.5,45.2
2026-03-30 22:30:00,36.32,45.7
2026-03-30 22:31:00,40.46,70.4
2026-03-30 22:32:00,48.56,85.1
2026-03-30 22:33:00,51.98,78.9
2026-03-30 22:34:00,53.96,74.5
2026-03-30 22:35:00,55.58,68.3
2026-03-30 22:36:00,57.2,60.1
2026-03-30 22:37:00,58.64,55.9
2026-03-30 22:38:00,59.9,53.1
2026-03-30 22:39:00,60.98,51.2
2026-03-30 22:40:00,62.96,48.3
2026-03-30 22:41:00,63.86,47.3
2026-03-30 22:42:00,64.76,46.3
2026-03-30 22:43:00,65.48,45.5
2026-03-30 22:44:00,66.2,44.7
2026-03-30 22:45:00,66.92,44
2026-03-30 22:46:00,67.46,43.5
2026-03-30 22:47:00,68,43
2026-03-30 22:48:00,68.54,42.5
2026-03-30 22:49:00,69.08,42
2026-03-30 22:50:00,69.62,41.6
2026-03-30 22:51:00,69.98,41.2
2026-03-30 22:52:00,70.34,40.9
2026-03-30 22:53:00,70.7,40.6
2026-03-30 22:54:00,71.06,40.3
2026-03-30 22:55:00,71.42,40
2026-03-30 22:56:00,71.78,39.7
2026-03-30 22:57:00,71.96,39.5
2026-03-30 22:58:00,72.32,39.3
2026-03-30 22:59:00,72.5,39
2026-03-30 23:00:00,72.68,38.8
2026-03-30 23:01:00,72.86,38.6
2026-03-30 23:02:00,73.22,38.4
2026-03-30 23:03:00,73.4,38.2
2026-03-30 23:04:00,73.58,38
2026-03-30 23:05:00,73.76,37.8
2026-03-30 23:06:00,73.94,37.6
2026-03-30 23:07:00,73.94,37.4
2026-03-30 23:08:00,74.12,37.3
2026-03-30 23:09:00,74.3,37.1
2026-03-30 23:10:00,74.48,37
