minute,sensor_I,sensor_II
0,75.92,75.02
1,75.92,75.02
2,75.92,74.84
3,75.92,75.02
4,75.92,74.84
5,75.92,74.84
6,75.74,74.84
7,75.74,74.84
8,75.74,74.84
9,75.56,74.84
10,75.56,74.84
11,75.56,74.84
12,75.56,74.66
13,81.5,77.36
14,92.66,90.68
15,101.1,101.3
16,107.6,109.2
17,112.6,115.2
18,116.8,119.8
19,120.4,123.4
20,123.6,126.9
21,126.5,129.7
22,129.2,132.3
23,131.7,134.8
24,134.1,136.9
25,136.2,139.1
26,138.2,140.9
27,140.0,142.7
28,141.8,144.3
29,139.6,145.6
30,117.7,122.7
31,104.9,99.68
32,97.16,86.0
33,91.4,76.64
34,86.72,69.26
35,82.58,63.32
36,78.98,57.92
37,75.56,53.06
38,72.5,48.74
39,69.44,44.78
40,66.92,41.18
41,64.4,37.76
42,62.06,34.52
43,60.08,31.82
44,58.1,29.12
45,56.3,26.6
46,54.5,24.44
47,53.06,22.28
48,51.62,20.12
49,50.18,18.32
50,48.92,16.7
51,47.84,15.08
52,46.76,13.64
53,45.68,12.2
54,44.78,10.94
55,43.88,9.68
56,43.16,8.6
57,42.26,7.52
58,41.54,6.62
59,41.0,5.72
60,40.28,5.0
61,39.74,4.28
62,39.2,3.74
63,38.84,3.2
64,38.48,2.84
65,38.12,2.3
66,37.94,1.94
67,37.76,1.58
68,37.4,1.4
69,37.22,1.04
70,37.04,0.86
71,36.86,0.5
72,36.68,0.32
73,36.5,0.14
74,36.5,-0.04
75,36.32,0.14
76,40.46,15.44
77,48.56,25.7
78,51.98,31.82
79,53.96,35.78
80,55.58,39.02
81,57.2,41.72
82,58.64,44.06
83,59.9,46.22
84,60.98,48.02
85,62.96,49.82
86,63.86,51.44
87,64.76,53.06
88,65.48,54.5
89,66.2,55.76
90,66.92,57.2
91,67.46,58.46
92,68.0,59.54
93,68.54,60.62
94,69.08,61.52
95,69.62,62.42
96,69.98,63.32
97,70.34,64.22
98,70.7,64.94
99,71.06,65.66
100,71.42,66.2
101,71.78,66.92
102,71.96,67.46
103,72.32,68.0
104,72.5,68.54
105,72.68,68.9
106,72.86,69.44
107,73.22,69.8
108,73.4,70.16
109,73.58,70.7
110,73.76,70.88
111,73.94,71.24
112,73.94,71.6
113,74.12,71.78
114,74.3,72.14
115,74.48,72.32
